typ_desc,incident_date,count
ALARMS: AUDIBLE/OUTSIDE,2024-02-24T00:00:00.000,14
ALARMS: AUDIBLE/OUTSIDE,2024-02-25T00:00:00.000,7
ALARMS: AUDIBLE/OUTSIDE,2024-02-26T00:00:00.000,4
ALARMS: AUDIBLE/OUTSIDE,2024-02-27T00:00:00.000,17
ALARMS: AUDIBLE/OUTSIDE,2024-02-28T00:00:00.000,17
ALARMS: AUDIBLE/OUTSIDE,2024-02-29T00:00:00.000,19
ALARMS: AUDIBLE/OUTSIDE,2024-03-01T00:00:00.000,4
ALARMS: AUDIBLE/OUTSIDE,2024-03-02T00:00:00.000,14
ALARMS: AUDIBLE/OUTSIDE,2024-03-03T00:00:00.000,31
ALARMS: AUDIBLE/OUTSIDE,2024-03-04T00:00:00.000,17
ALARMS: AUDIBLE/OUTSIDE,2024-03-05T00:00:00.000,16
ALARMS: AUDIBLE/OUTSIDE,2024-03-06T00:00:00.000,19
ALARMS: AUDIBLE/OUTSIDE,2024-03-07T00:00:00.000,26
ALARMS: AUDIBLE/OUTSIDE,2024-03-08T00:00:00.000,12
ALARMS: AUDIBLE/OUTSIDE,2024-03-09T00:00:00.000,12
